ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
1,27,7,141.0,92319,3.0,1.1,1,0.0,0,0,0,0,1
2,57,36,115.0,94560,2.0,2.4,3,79.0,0,0,0,0,1
3,52,29,63.0,95823,4.0,0.8,2,0.0,0,0,0,0,0
4,42,17,115.0,94219,4.0,3.4,1,0.0,0,1,0,1,1
5,42,18,55.0,95521,3.0,1.5,1,0.0,0,0,0,1,1
6,61,37,61.0,90060,4.0,2.1,2,0.0,0,0,0,1,0
7,26,3,30.0,91023,3.0,0.6,1,0.0,0,0,0,0,1
8,54,34,68.0,93756,2.0,0.5,2,58.0,0,0,0,0,1
9,32,10,56.0,93243,3.0,2.2,2,51.0,0,0,0,1,1
10,27,2,27.0,90722,4.0,0.7,3,0.0,0,0,0,0,1
11,46,26,53.0,94310,4.0,2.2,1,0.0,0,0,0,1,0
12,66,41,52.0,90352,1.0,0.6,2,149.0,0,0,0,1,0
13,56,32,147.0,95944,3.0,0.8,1,0.0,1,0,0,0,0
14,57,36,89.0,90938,1.0,1.7,3,0.0,0,0,0,1,1
15,55,31,55.0,92672,3.0,1.7,3,0.0,0,0,0,1,1
16,58,33,63.0,94939,3.0,1.7,3,0.0,0,0,0,1,1
17,46,26,56.0,93084,2.0,2.8,2,0.0,0,0,0,1,1
18,28,8,49.0,94463,4.0,1.3,1,0.0,1,0,0,0,1
19,60,37,30.0,94221,4.0,1.0,3,0.0,0,0,0,0,0
20,43,18,50.0,95692,1.0,1.9,3,66.0,0,0,1,1,1
21,45,25,36.0,92783,1.0,0.2,1,219.0,0,0,0,1,0
22,39,16,27.0,95873,1.0,0.9,2,0.0,0,0,0,1,0
23,31,11,72.0,93100,4.0,1.7,2,0.0,0,0,0,1,0
24,64,41,68.0,95359,3.0,1.9,3,0.0,0,1,0,1,0
25,58,35,20.0,94395,3.0,0.2,2,0.0,0,0,0,1,0
26,51,31,51.0,90797,4.0,2.5,2,362.0,0,0,0,0,0
27,41,17,94.0,93861,4.0,5.3,2,0.0,0,0,0,1,0
28,60,35,98.0,95270,1.0,0.6,1,180.0,0,0,0,1,1
29,47,22,96.0,90770,1.0,3.7,1,0.0,0,0,0,1,0
30,42,22,56.0,95031,2.0,2.6,1,0.0,0,0,0,0,0
31,43,22,34.0,90632,2.0,0.7,3,72.0,0,0,0,1,0
32,33,12,30.0,95226,3.0,1.4,2,223.0,0,1,0,1,0
33,27,5,66.0,94733,1.0,2.6,2,0.0,0,0,0,0,0
34,47,27,67.0,90910,2.0,3.8,1,552.0,0,0,0,1,0
35,62,37,111.0,94358,1.0,6.5,1,110.0,0,0,0,0,1
36,25,1,100.0,90700,1.0,0.7,2,0.0,0,0,1,1,0
37,61,37,51.0,93408,1.0,1.5,1,0.0,0,0,0,0,1
38,60,39,28.0,95542,1.0,1.0,1,0.0,0,0,0,0,0
39,35,15,46.0,91235,3.0,0.6,3,355.0,0,0,0,1,1
40,51,26,62.0,91042,2.0,1.5,1,0.0,0,0,0,0,1
41,30,9,49.0,92537,2.0,2.9,1,513.0,0,0,0,1,0
42,57,34,,92211,2.0,0.2,2,586.0,0,0,0,0,0
43,54,29,63.0,90290,3.0,1.9,3,409.0,0,0,0,0,0
44,38,18,41.0,92735,4.0,2.1,1,413.0,0,0,0,0,0
45,26,6,39.0,91557,3.0,0.9,3,340.0,0,0,0,0,0
46,66,46,65.0,90746,3.0,2.0,3,234.0,0,0,0,1,0
47,43,23,44.0,91656,3.0,2.6,2,132.0,0,0,0,1,1
48,63,43,62.0,90123,3.0,1.9,2,0.0,0,0,0,1,1
49,53,29,63.0,95490,1.0,0.8,3,0.0,0,0,0,0,0
50,58,35,29.0,95964,4.0,0.2,2,503.0,0,0,0,0,0
51,57,32,42.0,92205,1.0,2.4,1,282.0,0,0,0,0,0
52,31,7,120.0,95259,2.0,2.4,2,0.0,0,0,0,1,0
53,39,14,29.0,92768,3.0,0.9,1,0.0,0,0,0,1,1
54,44,23,17.0,95474,2.0,0.2,1,0.0,0,0,0,0,0
55,45,24,20.0,91038,1.0,0.6,1,146.0,0,0,0,0,0
56,24,0,55.0,91707,4.0,3.1,1,0.0,0,0,0,1,0
